cmdCode,sum primary value,sum netwgt
1001,70844394171.023,281300547440.296
1002,692061710.133,2888308881.531
1003,13917880103.472,60829111920.467
1004,1973647484.136,6375854507.747
1006,60893372117.375,97633084549.267
1007,4972745632.52,18405732029.53
1008,1768521703.522,3608702910.717
1201,150743575717.828,337810214956.823
1203,102487615.502,101821743.606
1204,1035157239.0469999,1376439994.027
1205,24269438893.075,47662987388.989
1206,7855065680.063,8314464228.561
1207,8671487335.79,7193742645.2
1213,664589597.887,4756507904.072
1401,354864481.767,660733249.581
1404,2874691686.869,15189657695.584
1507,20939117373.729,21477071588.845
1508,1307815297.389,707283317.649
1511,57831971782.145004,59541629770.999
1512,21664812644.42,22131864209.965
1513,14431165247.048,10970043711.758
1514,18049817886.271,15812577830.47
1701,68355501693.655,122567399268.324
2301,15249375050.846,15080088524.337
2302,3346491721.127,17960313738.919
2303,11215640711.119,45431779480.176
2304,54440018018.13,127272457331.003
2305,47894911.324,141421023.611
2306,16589609855.491,61290426387.295
2308,1413691233.545,4203213004.369
2501,6053816622.036,101077042580.561
2502,130405102.201,803451336.8429999
2503,2853986104.989,27268686997.435
2504,817509867.124,843617691.709
2505,4596548308.344,194912610435.499
2506,1739886104.252,11183059266.317
2508,3855082531.3980002,26715310227.248
2509,154084418.311,1681689313.103
2510,5141387697.172,36576274197.13
2511,1224682037.443,8982942827.335
2512,325437983.631,480629198.04
2513,686947941.279,4240501400.114
2517,4160556184.744,271620794777.613
2518,678369743.28,17664370737.475
2519,3266772424.748,14233128189.199
2520,1987537063.2879999,54382391773.877
2521,550144451.375,32273134525.067
2522,2100814078.38,13412698165.064001
2523,15740320627.439,227514184913.124
2525,411980406.681,1107101651.383
2526,1725330722.377,5197802419.079
2528,601528486.474,1651162408.0939999
2529,2329182021.874,23803214234.316
2530,9468059690.501,21467197662.702
2601,274332147274.714,3112122583718.827
2602,6894476470.062,54922605992.187996
2603,134475776931.467,33060496607.245
2604,4523178877.928,94436219000.721
2605,12932719.953,4493902.87
2606,4503015186.884,107067920763.064
2607,10102231332.734,4639810315.424
2608,13477186498.579,13332815305.611
2609,972502916.3790001,91599021.222
2614,3262532662.079,7890531386.304
2618,1682332819.111,71370633508.299
2619,578050217.123,7003835951.772
2620,6115525925.163,5493682727.722
2621,707989761.684,26635768383.45
2701,245826032205.324,2086489170265.304
2702,15315337173.383,310217187409.363
2703,3293630769.764,17851542900.702
2704,18272616901.085,62910637871.554
2706,1306604290.556,2666691360.232
2707,65962125547.274,106802788958.613
2708,1778318796.1759999,2270879605.559
2709,1348866694736.992,2278174202653.965
2710,1301863096455.75,1826104617366.779
2713,33997838596.452,148353812507.676
2714,379444532.351,1176622528.642
2715,1321286137.938,2110964138.128
2803,10461493796.487,6430115497.41
2815,8929358943.372,30599358293.012
2818,39765950827.411,78847473726.64
2820,734447837.072,651866907.198
2821,1359762657.134,1602156786.172
2830,1030660692.3840001,1046563431.971
2833,7612724056.082,22191242892.91
2834,2109684033.398,2632120411.8910003
2835,7224895977.515,6428603608.096
2836,19659152777.375,45443920308.093
2839,1440754747.698,2739802394.444
2840,1317493200.292,1816591384.618
3101,2329095321.213,9033091674.335
3102,32510013225.223,118217499818.382
3103,8517335129.428,20426680173.363
3104,18394934844.845,68968838461.507
3105,58540540592.445,107370796036.383
3801,6123621208.548,3288865496.724
3802,5344014925.505,6693195430.111
3816,4587211987.144,6407413234.829
3825,363941416.171,7646050508.668
3826,38043046341.898,32176590228.224
3901,129572270962.546,108234731871.459
3902,66975967166.397,50234726352.349
3903,25395389372.521,15517572768.718
4001,24432993013.072,14653189672.539999
4401,17169648055.488,124546048782.59
4402,2093140553.376,3749610410.422
4403,19331447843.311,151945508098.5
4404,397158221.305,751233224.361
4405,123658867.201,197690281.918
4406,419622244.707,612391555.37
4407,47929969977.725,88489626342.201
4701,375232422.093,757252224.06
4702,11716651158.579,18464409798.971
4703,67768598406.585,108532236023.40201
4704,928036612.442,1176727772.216
4705,2985867027.416,6008252403.072
4706,3161739165.092,8858673688.099
4707,12149583619.563,66571270663.533
7201,4568813375.213,9871014850.357
7202,66095625198.741,42136340804.564
7203,3931552694.208,7752268966.426
7204,60882109393.522,135418149908.665
7205,3812201969.495,2239286252.504
7206,810984097.57,1168288577.526
7207,34617201717.802,62560844801.025
7208,104983345306.184,161776113947.116
7209,22675234116.695,29976957044.734
7210,91074540192.16899,99477514829.996
7211,6893375509.255,6391551416.049
7212,8597911044.969,8137849152.025
7213,20567321211.771,33044074431.871
7214,25669567653.609,40196672716.502
7215,3648784690.8780003,2947766388.982
7216,23868896428.674,29598713284.993
7217,10369311013.274,10082206543.765
7218,8699693636.149,4006656091.71
7219,56682595541.773,26309538565.759
7220,9017094464.026001,2535122691.976
7221,2585645368.473,815280870.267
7222,11625188496.544,2614843237.826
7223,4231021229.72,828645233.989
7224,5436061382.286,6159965618.623
7225,52486102784.418,47469846682.955
7226,6392135334.105,3079622214.178
7227,5752183257.114,6649255084.439
7228,18759165303.476,14214608125.324
7229,3900043044.846,2542351670.6080003
7301,3010760834.149,3218327070.6819997
7302,5886830285.536,4443280195.258
7303,2567938618.259,2355603029.952
7304,42244550880.914,20379511533.591
7305,15229151559.626999,9935273973.772
7306,39021087547.381996,28484697421.349
7308,116036319445.641,49395680420.376
7309,8856514838.06,1961881483.802
7401,1697969937.079,381911040.642
7404,56073410560.938,9454176230.088
7411,15600598934.418,1436384123.104
7501,19098269570.944,4354410197.296
7502,22270282149.19,1261278223.418
7503,2039025098.06,349077262.219
7601,89147858887.859,34649769307.35
7602,37701503177.387,21073941870.673
7608,4204727465.953,699720586.541
7610,33769809478.268,5172314219.501
7801,11337313682.832,5069782265.564
7802,1281350133.851,1034660100.745
7901,18978434641.888,6640884261.53
7902,1235490406.834,1076335491.569
8001,9945887910.705,393137153.171
8002,231953438.623,190681264.444
